Member,Tier,BTC,ETH,SOL,XRP,AAVE,BCH,LTC,LINK,UNI,PYTH,USD,USDC,EUR,GBP,JPY,RLUSD
M01_T1,T1,,,,,,,,,,,,,,,,
M02_T1,T1,,,,,,,,,,,,,,,,
M03_T1,T1,,,,,,,,,,,,,,,,
M04_T2,T2,,,,,,,,,,,,,,,,
M05_T2,T2,,,,,,,,,,,,,,,,
M06_T2,T2,,,,,,,,,,,,,,,,
M07_T2,T2,,,,,,,,,,,,,,,,
M08_T2,T2,,,,,,,,,,,,,,,,
M09_T3,T3,,,,,,,,,,,,,,,,
M10_T3,T3,,,,,,,,,,,,,,,,
M11_T3,T3,,,,,,,,,,,,,,,,
M12_T3,T3,,,,,,,,,,,,,,,,
M13_T3,T3,,,,,,,,,,,,,,,,
M14_T3,T3,,,,,,,,,,,,,,,,
M15_T3,T3,,,,,,,,,,,,,,,,
M16_T4,T4,,,,,,,,,,,,,,,,
M17_T4,T4,,,,,,,,,,,,,,,,
M18_T4,T4,,,,,,,,,,,,,,,,
M19_T4,T4,,,,,,,,,,,,,,,,
M20_T4,T4,,,,,,,,,,,,,,,,
M21_T4,T4,,,,,,,,,,,,,,,,
