Member,Tier,BTC,ETH,SOL,XRP,AAVE,BCH,LTC,LINK,UNI,PYTH,USD,USDC,EUR,GBP,JPY,RLUSD
M01_T1,T1,116.93488,2487.15,,,,516.02,2245.17,1896.60,1415.00,,,,159012.69186,,,
M02_T1,T1,,,5361.60,2700740.00,,11.58,,,,,337455.15372,,367398.67987,10752.81101,64070.06,
M03_T1,T1,,,,,429.72,,,4262.50,,,3004479.77418,2055380.3194,,1211.36237,,258457.31662
M04_T2,T2,16.4154,,896.28,47653.00,,,6.97,,,,,186688.00,,,,
M05_T2,T2,,201.03,,,,,,,,,3994524.7033,,,,,
M06_T2,T2,14.7518,80.7289,1492.50,,,,,,,143564.10,,,,,519604.73,
M07_T2,T2,,26.08,367.16,,0.67,,,,,66362.20,2351333.02111,,,,272940047.96,
M08_T2,T2,,,342.31,127253.00,,,,,,,2277554.84792,,89.02584,,,
M09_T3,T3,0.16,,,,,,,,,,,,,,55325552.28,
M10_T3,T3,,,,,,4.40,,,,,728889.09424,,9693.71111,,,
M11_T3,T3,,,,10000.00,,,,,,,606880.43738,57253.00,,,,
M12_T3,T3,,,8.05,,,,99.68,,,,108013.9117,,17914.04425,,,
M13_T3,T3,,1.06,86.84,,,,,,,,163233.1518,878.00,,,,
M14_T3,T3,9.1333,3.2601,,,,,,,,,,,,,,
M15_T3,T3,0.62,,61.68,1880.00,,,,,,,,,,,,
M16_T4,T4,,8.40,,,,,,,,,96101.1001,,,,,
M17_T4,T4,,5.55,,2509.00,,,,,,,65697.36134,,,,,
M18_T4,T4,,,,686.00,,,,,,,474600.00,,,,,
M19_T4,T4,0.81,,,,,,,,,,,,,,,
M20_T4,T4,,,,,,,,,,,675.66392,,,,,
M21_T4,T4,0.19579,,,726.00,,,,,,,,5839.00,,,,
