Member,Tier,BTC,ETH,SOL,XRP,AAVE,BCH,LTC,LINK,UNI,PYTH,USD,USDC,EUR,GBP,JPY,RLUSD
M01_T1,T1,175.40232,3730.725,,,,774.03,3367.755,2844.90,2122.50,,5000.00,2000.00,238519.03779,,,
M02_T1,T1,0.05,1.00,8042.40,4051110.00,,17.37,,,,,506182.73058,2000.00,551098.019805,16129.216515,96105.09,
M03_T1,T1,0.05,1.00,,,644.58,,,6393.75,,,4506719.66127,3083070.4791,2000.00,1817.043555,,387685.97493
M04_T2,T2,24.6231,1.00,1344.42,71479.50,,,10.455,,,,5000.00,280032.00,2000.00,,,
M05_T2,T2,0.05,301.545,,,,,,,,,5991787.05495,2000.00,2000.00,,,
M06_T2,T2,22.1277,121.09335,2238.75,,,,,,,215346.15,5000.00,2000.00,2000.00,,779407.095,
M07_T2,T2,0.05,39.12,550.74,,1.005,,,,,99543.30,3526999.531665,2000.00,2000.00,,409410071.94,
M08_T2,T2,0.05,1.00,513.465,190879.50,,,,,,,3416332.27188,2000.00,2000.00,,,
M09_T3,T3,0.24,1.00,,,,,,,,,5000.00,2000.00,2000.00,,82988328.42,
M10_T3,T3,0.05,1.00,,,,6.60,,,,,1093333.64136,2000.00,14540.566665,,,
M11_T3,T3,0.05,1.00,,15000.00,,,,,,,910320.65607,85879.50,2000.00,,,
M12_T3,T3,0.05,1.00,12.075,,,,149.52,,,,162020.86755,2000.00,26871.066375,,,
M13_T3,T3,0.05,1.59,130.26,,,,,,,,244849.7277,2000.00,2000.00,,,
M14_T3,T3,13.69995,4.89015,,,,,,,,,5000.00,2000.00,2000.00,,,
M15_T3,T3,0.93,1.00,92.52,2820.00,,,,,,,5000.00,2000.00,2000.00,,,
M16_T4,T4,0.05,4.20,,,,,,,,,48050.55005,2000.00,2000.00,,,
M17_T4,T4,0.05,2.775,,1254.50,,,,,,,32848.68067,2000.00,2000.00,,,
M18_T4,T4,0.05,1.00,,343.00,,,,,,,237300.00,2000.00,2000.00,,,
M19_T4,T4,0.405,1.00,,,,,,,,,5000.00,2000.00,2000.00,,,
M20_T4,T4,0.05,1.00,,,,,,,,,337.83196,2000.00,2000.00,,,
M21_T4,T4,0.097895,1.00,,363.00,,,,,,,5000.00,2919.50,2000.00,,,
