Member,Tier,BTC,ETH,SOL,XRP,AAVE,BCH,LTC,LINK,UNI,PYTH,USD,USDC,EUR,GBP,JPY,RLUSD
M02_T1,T1,175.40232,1492.29,,,,774.03,3367.755,2844.9,2122.5,,5000,2000,238519.04,,,
M03_T1,T1,0.05,1,3216.96,4051110,,17.37,,,,,506182.73,2000,551098.02,16129.22,96105.09,
M04_T2,T2,0.05,1,,,644.58,,,6393.75,,,1802687.86,3083070.48,2000,1817.043555,,387685.9749
M05_T2,T2,24.6231,1,1344.42,71479.5,,,10.455,,,,5000,280032,2000,,,
M06_T2,T2,0.05,301.545,,,,,,,,,5991787.05,2000,2000,,,
M07_T2,T2,22.1277,121.09335,2238.75,,,,,,,215346.15,5000,2000,2000,,779407.1,
M08_T2,T2,0.05,39.12,550.74,,1.005,,,,,99543.3,3526999.53,2000,2000,,409410071.9,
M09_T3,T3,0.05,1,513.465,190879.5,,,,,,,3416332.27,2000,2000,,,
M10_T3,T3,0.24,1,,,,,,,,,5000,2000,2000,,82988328.42,
M11_T3,T3,0.05,1,,,,6.6,,,,,1093333.64,2000,14540.57,,,
M12_T3,T3,0.05,1,,15000,,,,,,,910320.66,85879.5,2000,,,
M13_T3,T3,0.05,1,12.075,,,,149.52,,,,162020.87,2000,26871.07,,,
M14_T3,T3,0.05,1.59,130.26,,,,,,,,244849.73,2000,2000,,,
M15_T3,T3,13.69995,4.89015,,,,,,,,,5000,2000,2000,,,
M16_T4,T4,0.93,1,92.52,2820,,,,,,,5000,2000,2000,,,
M17_T4,T4,0.05,12.6,,,,,,,,,144151.65,2000,2000,,,
M18_T4,T4,0.05,8.325,,3763.5,,,,,,,98546.04,2000,2000,,,
M19_T4,T4,0.05,1,,1029,,,,,,,711900,2000,2000,,,
M20_T4,T4,1.215,1,,,,,,,,,5000,2000,2000,,,
M21_T4,T4,0.05,1,,,,,,,,,5000,2000,2000,,,
,,0.293685,1,,1089,,,,,,,5000,8758.5,2000,,,
