Member,Tier,BTC,ETH,SOL,XRP,AAVE,BCH,LTC,LINK,UNI,PYTH,USD,USDC,EUR,GBP,JPY,RLUSD
M02_T1,T1,0.05,1.00,"8,042.40","4,051,110.00",,17.37,,,,,"506,182.73058","2,000.00","551,098.019805","16,129.216515","96,105.09",
M03_T1,T1,0.05,1.00,,,644.58,,,"6,393.75",,,"4,506,719.66127","3,083,070.4791","2,000.00","1,817.043555",,"387,685.97493"
M04_T2,T2,24.6231,1.00,"1,344.42","71,479.50",,,10.455,,,,"5,000.00","280,032.00","2,000.00",,,
M05_T2,T2,0.05,301.545,,,,,,,,,"5,991,787.05495","2,000.00","2,000.00",,,
M06_T2,T2,22.1277,121.09335,"2,238.75",,,,,,,"215,346.15","5,000.00","2,000.00","2,000.00",,"779,407.095",
M07_T2,T2,0.05,39.12,550.74,,1.005,,,,,"99,543.30","3,526,999.531665","2,000.00","2,000.00",,"409,410,071.94",
M08_T2,T2,0.05,1.00,513.465,"190,879.50",,,,,,,"3,416,332.27188","2,000.00","2,000.00",,,
M09_T3,T3,0.24,1.00,,,,,,,,,"5,000.00","2,000.00","2,000.00",,"82,988,328.42",
M10_T3,T3,0.05,1.00,,,,6.60,,,,,"1,093,333.64136","2,000.00","14,540.566665",,,
M11_T3,T3,0.05,1.00,,"15,000.00",,,,,,,"910,320.65607","85,879.50","2,000.00",,,
M12_T3,T3,0.05,1.00,12.075,,,,149.52,,,,"162,020.86755","2,000.00","26,871.066375",,,
M13_T3,T3,0.05,1.59,130.26,,,,,,,,"244,849.7277","2,000.00","2,000.00",,,
M14_T3,T3,13.69995,4.89015,,,,,,,,,"5,000.00","2,000.00","2,000.00",,,
M15_T3,T3,0.93,1.00,92.52,"2,820.00",,,,,,,"5,000.00","2,000.00","2,000.00",,,
M16_T4,T4,0.05,12.60,,,,,,,,,"144,151.65015","2,000.00","2,000.00",,,
M17_T4,T4,0.05,8.325,,"3,763.50",,,,,,,"98,546.04201","2,000.00","2,000.00",,,
M18_T4,T4,0.05,1.00,,"1,029.00",,,,,,,"711,900.00","2,000.00","2,000.00",,,
M19_T4,T4,1.215,1.00,,,,,,,,,"5,000.00","2,000.00","2,000.00",,,
M20_T4,T4,0.05,1.00,,,,,,,,,"5,000.00","2,000.00","2,000.00",,,
M21_T4,T4,0.293685,1.00,,"1,089.00",,,,,,,"5,000.00","8,758.50","2,000.00",,,
